Date,Open,High,Low,Close,Volume,Ticker,MA20,MA50,MA200,BB_mid,BB_upper,BB_lower,Daily_Return,Cumulative_Return,RSI,MACD,Signal,MACD_Hist,ATR,OBV
2022-01-03,171.68,171.77,171.46,171.57,82200055.0,AAPL,,,,,,,,,,0.0,0.0,0.0,,0.0
2022-01-04,170.74,171.2,170.68,171.2,55324049.0,AAPL,,,,,,,-0.002156554176138026,-0.002156554176138026,,-0.02951566951568907,-0.005903133903137814,-0.023612535612551257,,-55324049.0
2022-01-05,173.74,173.95,173.16,173.24,97936233.0,AAPL,,,,,,,0.011915887850467488,0.00973363641662317,,0.11043092182691794,0.017363677242873337,0.0930672445840446,,42612184.0
2022-01-06,177.7,178.35,176.91,178.04,39625255.0,AAPL,,,,,,,0.027707226968367582,0.03771055545841362,,0.6017231979862174,0.13423558139154215,0.4674876165946753,,82237439.0
2022-01-07,176.61,178.21,176.26,177.35,25369337.0,AAPL,,,,,,,-0.00387553358795778,0.03368887334615622,,0.9247388195014992,0.29233622901353357,0.6324025904879655,,56868102.0
2022-01-10,176.6,176.7,176.52,176.65,50687424.0,AAPL,,,,,,,-0.003946997462644375,0.029608905985895273,,1.1114349466772353,0.45615597254627394,0.6552789741309614,,6180678.0
2022-01-11,181.67,181.76,181.6,181.73,69402947.0,AAPL,,,,,,,0.028757429946221214,0.0592178119717901,,1.6502830811120646,0.6949813942594321,0.9553016868526325,,75583625.0
2022-01-12,185.77,187.05,183.34,184.29,79187251.0,AAPL,,,,,,,0.014086832113575198,0.07413883546074507,,2.25786742483038,1.0075586003736217,1.2503088244567582,,154770876.0
2022-01-13,182.86,183.1,182.76,182.79,102344817.0,AAPL,,,,,,,-0.008139345596614,0.06539604826018564,,2.588506241990558,1.323748128697009,1.264758113293549,,52426059.0
2022-01-14,184.73,184.79,184.62,184.63,35534442.0,AAPL,,,,,,,0.010066196181410358,0.0761205338928721,,2.9648357284608835,1.6519656486497838,1.3128700798110997,,87960501.0
2022-01-17,183.02,183.38,182.84,183.15,93336604.0,AAPL,,,,,,,-0.008016032064128154,0.06749431718832022,,3.1078307879067495,1.943138676501177,1.1646921114055724,,-5376103.0
